Cases,Area,Year,Sex
0,Leitrim,2014,Female
3,Leitrim,2015,Both sexes
3,Leitrim,2015,Male
0,Leitrim,2015,Female
4,Leitrim,2016,Both sexes
3,Leitrim,2016,Male
1,Leitrim,2016,Female
2,Leitrim,2017,Both sexes
1,Leitrim,2017,Male
1,Leitrim,2017,Female
4,Leitrim,2018,Both sexes
4,Leitrim,2018,Male
0,Leitrim,2018,Female
3,Leitrim,2019,Both sexes
3,Leitrim,2019,Male
0,Leitrim,2019,Female
15,Mayo,2013,Both sexes
11,Mayo,2013,Male
4,Mayo,2013,Female
19,Mayo,2014,Both sexes
15,Mayo,2014,Male
4,Mayo,2014,Female
13,Mayo,2015,Both sexes
10,Mayo,2015,Male
3,Mayo,2015,Female
13,Mayo,2016,Both sexes
12,Mayo,2016,Male
1,Mayo,2016,Female
8,Mayo,2017,Both sexes
8,Mayo,2017,Male
0,Mayo,2017,Female
15,Mayo,2018,Both sexes
13,Mayo,2018,Male
2,Mayo,2018,Female
11,Mayo,2019,Both sexes
9,Mayo,2019,Male
2,Mayo,2019,Female
9,Roscommon,2013,Both sexes
8,Roscommon,2013,Male
1,Roscommon,2013,Female
12,Roscommon,2014,Both sexes
10,Roscommon,2014,Male
2,Roscommon,2014,Female
10,Roscommon,2015,Both sexes
10,Roscommon,2015,Male
0,Roscommon,2015,Female
7,Roscommon,2016,Both sexes
6,Roscommon,2016,Male
1,Roscommon,2016,Female
4,Roscommon,2017,Both sexes
4,Roscommon,2017,Male
0,Roscommon,2017,Female
9,Roscommon,2018,Both sexes
4,Roscommon,2018,Male
5,Roscommon,2018,Female
11,Roscommon,2019,Both sexes
5,Roscommon,2019,Male
6,Roscommon,2019,Female
5,Sligo,2013,Both sexes
4,Sligo,2013,Male
1,Sligo,2013,Female
6,Sligo,2014,Both sexes
4,Sligo,2014,Male
2,Sligo,2014,Female
6,Sligo,2015,Both sexes
3,Sligo,2015,Male
3,Sligo,2015,Female
7,Sligo,2016,Both sexes
7,Sligo,2016,Male
0,Sligo,2016,Female
6,Sligo,2017,Both sexes
5,Sligo,2017,Male
1,Sligo,2017,Female
6,Sligo,2018,Both sexes
5,Sligo,2018,Male
1,Sligo,2018,Female
5,Sligo,2019,Both sexes
4,Sligo,2019,Male
1,Sligo,2019,Female
42,Ulster (part of),2013,Both sexes
30,Ulster (part of),2013,Male
12,Ulster (part of),2013,Female
37,Ulster (part of),2014,Both sexes
30,Ulster (part of),2014,Male
7,Ulster (part of),2014,Female
35,Ulster (part of),2015,Both sexes
26,Ulster (part of),2015,Male
9,Ulster (part of),2015,Female
41,Ulster (part of),2016,Both sexes
33,Ulster (part of),2016,Male
8,Ulster (part of),2016,Female
34,Ulster (part of),2017,Both sexes
30,Ulster (part of),2017,Male
4,Ulster (part of),2017,Female
32,Ulster (part of),2018,Both sexes
24,Ulster (part of),2018,Male
8,Ulster (part of),2018,Female
32,Ulster (part of),2019,Both sexes
23,Ulster (part of),2019,Male
9,Ulster (part of),2019,Female
16,Cavan,2013,Both sexes
11,Cavan,2013,Male
5,Cavan,2013,Female
12,Cavan,2014,Both sexes
9,Cavan,2014,Male
3,Cavan,2014,Female
7,Cavan,2015,Both sexes
6,Cavan,2015,Male
1,Cavan,2015,Female
15,Cavan,2016,Both sexes
10,Cavan,2016,Male
5,Cavan,2016,Female
11,Cavan,2017,Both sexes
10,Cavan,2017,Male
1,Cavan,2017,Female
14,Cavan,2018,Both sexes
13,Cavan,2018,Male
1,Cavan,2018,Female
14,Cavan,2019,Both sexes
11,Cavan,2019,Male
3,Cavan,2019,Female
18,Donegal,2013,Both sexes
12,Donegal,2013,Male
6,Donegal,2013,Female
15,Donegal,2014,Both sexes
12,Donegal,2014,Male
3,Donegal,2014,Female
23,Donegal,2015,Both sexes
15,Donegal,2015,Male
8,Donegal,2015,Female
14,Donegal,2016,Both sexes
12,Donegal,2016,Male
2,Donegal,2016,Female
14,Donegal,2017,Both sexes
12,Donegal,2017,Male
2,Donegal,2017,Female
9,Donegal,2018,Both sexes
6,Donegal,2018,Male
3,Donegal,2018,Female
11,Donegal,2019,Both sexes
8,Donegal,2019,Male
